activity_id,parent_id,source_id,assay_id,canonical_molecule_id,canonical_inchikey,exclusion_category,final_modeling_role,exclusion_reason,decision_provenance,molecule_survives_elsewhere,notes
ACT_26145154,PARENT0793,PMID_37423123,ASSY_CHEMBL5623673,CM00581,QYRKWQCGSRKPKT-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_ERK; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_26145155,PARENT0851,PMID_37423123,ASSY_CHEMBL5623673,CM00551,QAPLYNIXYINKLJ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_ERK; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_26145156,PARENT0852,PMID_37423123,ASSY_CHEMBL5623673,CM00803,XRSXZKNVELSQID-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_ERK; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3186200,PARENT0061,CHEMBLDOC1155388,ASSY_CHEMBL1110550,CM00304,JCOKRGWZMBZKFO-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,strict;extended,cat=PAM_functional_calcium; standard_type=Activity; source_kind=database; no numeric endpoint value; excluded from quantitative modeling
ACT_3259062,PARENT0062,PMID_20303264,ASSY_CHEMBL1112719,CM00489,OBGQXKXUFQHOCB-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3259063,PARENT0063,PMID_20303264,ASSY_CHEMBL1112719,CM00196,GFKUETCHMIRCOJ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3259064,PARENT0064,PMID_20303264,ASSY_CHEMBL1112719,CM00576,QVPKHRFTCWCWIQ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3259065,PARENT0065,PMID_20303264,ASSY_CHEMBL1112719,CM00448,MVRPGBDUYQGYFE-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3259066,PARENT0066,PMID_20303264,ASSY_CHEMBL1112719,CM00851,ZLGFFOIACZAPJN-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3259067,PARENT0067,PMID_20303264,ASSY_CHEMBL1112719,CM00831,YOOATANIHWAWIC-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
